ID_Z4	Plot_Z4	PHASE_Z4	Block_Z4	Scheme_Z4	SCH_ABV_Z4	KEY_Z4	Road_Z4	GD_ST_Z4	Plot_Area_Z4	DC_Z4	Total_Z4	2024_PAID_Z4	2025_PAID_Z4	Pending_Z4	PT_STATUS_Z4	AD_Z4	REMARKS_Z4	Category_Z4	EXTRA_Z4
1	2	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	2-C1-A1	12	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
2	3	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	3-C1-A1	1	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
3	5	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	5-C1-A1	10	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
4	6	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	6-C1-A1	10	Illegal	10 Marla	3158375	0	0	0	0	RESIDENTIAL/USE RESTORED	SHAFIQ UR REHMAN		ILLEGAL	
5	7	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	7-C1-A1	10	Illegal	7 Marla	3158375	0	0	0	0	RESIDENTIAL/USE RESTORED	SHAFIQ UR REHMAN		ILLEGAL	
6	17	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	17-C1-A1	10	Illegal	1 Kanal	3158375	0	0	0	0	VACANT	SHAFIQ UR REHMAN		ILLEGAL	
7	24	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	24-C1-A1	1	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
8	25	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	25-C1-A1	11	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
9	31	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	31-C1-A1	10	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
10	38	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	38-C1-A1	10	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
11	39	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	39-C1-A1	10	Illegal	5 Marla	3158375	297169	0	0	297169	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
